iter	Passed	Remaining
0	2	2820
1	5	2592
2	10	3491
3	12	3206
4	15	3020
5	17	2944
6	20	2842
7	24	3089
8	27	3058
9	30	2984
10	32	2933
11	35	2892
12	40	3108
13	43	3058
14	46	3085
15	49	3034
16	51	2996
17	58	3186
18	60	3145
19	63	3098
20	65	3065
21	68	3027
22	71	3045
23	76	3125
24	79	3088
25	85	3196
26	87	3158
27	90	3136
28	92	3102
29	95	3072
30	100	3150
31	103	3125
32	105	3097
33	108	3070
34	110	3042
35	116	3111
36	118	3096
37	121	3071
38	123	3047
39	125	3022
40	131	3082
41	134	3062
42	136	3039
43	138	3017
44	141	2996
45	147	3063
46	150	3042
47	152	3022
48	154	3003
49	157	2984
50	164	3057
51	169	3083
52	171	3063
53	173	3044
54	176	3029
55	180	3047
56	183	3029
57	185	3010
58	190	3043
59	194	3042
60	200	3078
61	210	3189
62	213	3180
63	247	3626
64	250	3605
65	258	3654
66	261	3645
67	266	3651
68	272	3671
69	274	3651
70	277	3626
71	279	3602
72	281	3579
73	287	3597
74	289	3575
75	292	3552
76	294	3534
77	297	3511
78	302	3525
79	304	3504
80	307	3483
81	310	3476
82	311	3444
83	314	3424
84	318	3433
85	321	3415
86	323	3396
87	329	3413
88	331	3396
89	334	3379
90	336	3361
91	338	3343
92	344	3360
93	347	3347
94	349	3330
95	351	3313
96	354	3297
97	359	3306
98	362	3302
99	365	3291
100	368	3279
101	371	3270
102	379	3300
103	382	3291
104	384	3280
105	391	3304
106	395	3299
107	398	3290
108	419	3427
109	422	3416
110	425	3405
111	428	3395
112	435	3415
113	437	3403
114	440	3392
115	443	3381
116	445	3364
117	448	3354
118	451	3345
119	454	3334
120	460	3346
121	463	3332
122	465	3322
123	468	3311
124	472	3304
125	477	3313
126	479	3298
127	482	3288
128	485	3279
129	493	3299
130	495	3289
131	498	3279
132	502	3272
133	504	3263
134	509	3263
135	512	3254
136	515	3244
137	521	3257
138	524	3250
139	527	3240
140	530	3231
141	535	3234
142	538	3226
143	541	3217
144	544	3208
145	547	3199
146	554	3217
147	557	3208
148	560	3199
149	565	3206
150	569	3204
151	574	3205
152	577	3196
153	582	3200
154	595	3244
155	601	3256
156	604	3247
157	607	3237
158	614	3250
159	617	3241
160	619	3226
161	622	3217
